,doi,title,publication_date,type,first_author_name,abstract,source,abstract_length,doi_norm,title_norm,abstract_norm,publication_year
125,https://doi.org/10.5281/zenodo.7363757,A Call for Digital Transformation in the Marine Environmental Protection Sector: A case for marine plastic litter pollution monitoring,2022-11-26,article,"Tabañag, Ian Dominic F.","&lt;p&gt;As one of the top contributors of marine plastic litter in the world&rsquo;s oceans, the Philippines, having recognized the seriousness of this problem has adopted a National Plan of Action for the Prevention, Reduction, and Management of Marine Litter (NPOA-ML). One of the initial steps of the NPOA-ML is to perform marine litter baselining in identifying the extent of the plastics pollution problem in the environment. Further, recent stakeholder engagements have identified that two of the priority research areas &ndash; &lsquo;marine environmental protection,&rsquo; and &lsquo;digital transformation&rsquo; &ndash; in the Philippine maritime sector are aligned with the establishment of baseline data for marine litter. Provided that there are local initiatives in consolidating the available plastics data, this study presents a framework for the digital transformation of plastics data in defining the extent of marine plastics pollution in the country. Briefly, the framework considers the digitization of plastics data from land and sea-based sources, then coupled with the appropriate mechanistic model (i.e., process models) that serves as a backbone for digitalization. Consequently, the direction towards the development of a technological artifact, when using the said framework as a basis, can serve as a holistic risk-assessment tool for the crafting of reduction, control, and mitigation strategies by stakeholders at various levels in the national government.&lt;/p&gt;",OpenAlex,1499,10.5281/zenodo.7363757,digital transformation environmental protection sector case monitoring,pas contributors worlds oceans having recognized seriousness problem adopted national plan action prevention reduction management npoa ml initial steps npoa ml perform baselining identifying extent problem environment recent stakeholder engagements identified priority areas environmental protection digital transformation philippine maritime sector aligned establishment baseline data provided local initiatives consolidating available data framework digital transformation data defining extent country briefly framework considers digitization data sea sources coupled appropriate mechanistic model process models serves backbone digitalization consequently direction development technological artifact said framework basis serve holistic risk assessment tool crafting reduction control mitigation strategies stakeholders levels national governmentp,2022
140,10.1007/s11270-025-08339-7,A Decade of Microplastic Ingestion in Coral Fish: A Systematic Review of Trends in Asia,2025-11-01,Journal,"Adim, Sri Aisyah","Microplastic (MP) pollution poses an escalating threat to marine ecosystems, yet its ingestion by coral reef-associated fish in Asia remains insufficiently studied. This systematic review synthesizes findings from 26 peer-reviewed studies published between 2015 and 2025, examining spatial trends, contamination patterns, and biological impacts of MPs in marine fish, with a specific focus on reef species. Results show a surge in publications since 2018, with research predominantly concentrated in Malaysia, Indonesia, and Thailand, while key biodiversity hotspots such as the Philippines and Pacific Islands remain underrepresented. Fibers emerged as the dominant MP type ingested, largely linked to fishing activities, textiles, and wastewater discharges. Although advanced polymer identification methods like FTIR and Raman spectroscopy are increasingly adopted, inconsistent methodologies hinder data comparability across studies. MP ingestion is associated with oxidative stress, tissue damage, altered behavior, and reduced growth in fish. However, data on reproductive or ecosystem-level effects remain scarce. Crucially, MPs may disrupt key mutualistic interactions between reef fish and corals, threatening reef resilience and local livelihoods. By highlighting critical gaps and regional disparities, this review provides a focused synthesis to guide future research and inform integrated management strategies to mitigate microplastic pollution in Asia’s coral reef ecosystems.",Scopus,1490,10.1007/s11270-025-08339-7,decade microplastic ingestion coral fish systematic trends asia,microplastic mp poses escalating threat ecosystems ingestion coral reef associated fish asia remains insufficiently studied systematic synthesizes findings 26 peer published 2015 2025 examining spatial trends contamination patterns biological impacts mps fish specific focus reef species results surge publications 2018 predominantly concentrated malaysia indonesia thailand key biodiversity hotspots pacific islands remain underrepresented fibers emerged dominant mp type ingested largely linked fishing activities textiles wastewater discharges advanced polymer identification methods like ftir raman spectroscopy increasingly adopted inconsistent methodologies hinder data comparability mp ingestion associated oxidative stress tissue damage altered behavior reduced growth fish data reproductive ecosystem level effects remain scarce crucially mps disrupt key mutualistic interactions reef fish corals threatening reef resilience local livelihoods highlighting critical gaps regional disparities provides focused synthesis guide future inform integrated management strategies mitigate microplastic asias coral reef ecosystems,2025
114,https://doi.org/10.35261/barometer.v8i1.6917,A PROJECT FEASIBILITY OF CONVERTING LOW-DENSITY POLYETHYLENE AND COAL FLY ASH INTO FUEL,2023-01-31,article,"Catindig, Christine Joy","Ineptly handled plastic waste has both economic and environmental repercussions. The country's reliance on single-use plastics such as multilayer sachets and pouches has led to the country becoming a ""sachet economy,"" worsening the region's concerning levels of land and marine plastic pollution. By most estimates, the Philippines use a massive 163 million sachets every day. Unfortunately, only the sachets have been counted, not the whole projected number of used plastics throughout the country. Thus, the researchers have proposed an idea to test the feasibility of converting low-density polyethylene and coal fly ash as catalyst into fuel. Coal fly ash is a byproduct that can be found most especially in coal-fired power plants. The plastics will undergo the process of pyrolysis wherein depolymerization takes place in order to produce fuel. For the Statistical Computation of the Sample Size to be Surveyed, the researchers used the Slovin’s formula wherein the obtained data and decided to use a 95% confidence level and 5% margin of error and therefore got 399 respondents. Forecasted demand was obtained using the Statistical Straight-Line Method with an average annual increase of 5.58%. The same method was used to forecast the supply which has an average annual increase of 4.49% for the next five years. The initial projected net sale is P515, 650,864.11. The highest possible quality of the desired product is attainable with 82.55% plant capacity utilization that operates in 287 possible manufacturing days with one production shift. The product underwent four different tests, all of which has a positive outcome for the product as an alternative for LPG. The total project cost is P400, 000,000.00 and has a 3.25 years payback period. Therefore, this project is feasible.",OpenAlex,1793,10.35261/barometer.v8i1.6917,project feasibility converting low density polyethylene coal fly ash fuel,ineptly handled economic environmental repercussions countrys reliance single multilayer sachets pouches led country sachet economy worsening regions concerning levels estimates massive 163 million sachets day unfortunately sachets counted projected number country researchers proposed idea test feasibility converting low density polyethylene coal fly ash catalyst fuel coal fly ash byproduct especially coal fired power plants undergo process pyrolysis depolymerization takes place order produce fuel statistical computation sample size surveyed researchers slovins formula obtained data decided 95 confidence level 5 margin error got 399 respondents forecasted demand obtained statistical straight line method average annual increase 558 method forecast supply average annual increase 449 years initial projected net sale p515 65086411 highest possible quality desired product attainable 8255 plant capacity utilization operates 287 possible manufacturing days production shift product underwent different tests positive outcome product alternative lpg total project cost p400 00000000 325 years payback period project feasible,2023
215,10.3390/su15086813,A Review of the Current State of Microplastic Pollution in South Asian Countries,2023-04-01,Journal,"Sin, Lee Tin","Microplastic contamination has become a concerning topic of study in recent decades. This review discusses the development of microplastic pollution based on a selection of South Asian countries consisting of Bangladesh, Iran, Philippines, Thailand, India, Indonesia, and Vietnam. The condition of microplastic pollution related to the abundance of microplastic found in various environments as well as the presence of microplastics in food and the air, is covered in this review. Several reports found that drinking water sourced from taps was found to have about 83% of microplastic particles in the year 2017 based on results from 14 nations, and in the year 2018, 260 bodies of water for human consumption in 11 countries were found to have about 93% of microplastic particles. Micro debris pollution in seas and oceans worldwide is predicted to be at an amount of 236,000 metric tons based on a statistical report. A mean value of 30 micro debris per liter of glacier water was recovered from the top of Mount Everest, whereas about 2200 small particles per liter were discovered in the deep waters of the Mariana Trench. The main environments that are severely microplastic-contaminated are water-based places such as rivers, estuaries, and beaches. The presence of microplastics in food items, such as tea bags, sugar, shrimp paste, and salt packets, has been reported. In terms of impacts on the environment, microplastic contamination includes the ingestion of microplastics by aquatic creatures in water environments. The impacts on terrestrial environments relate to microplastics sinking into the soil, leading to the alteration of the physicochemical parameters of soil. Meanwhile, the impacts on the atmospheric environment include the settling of microplastics on the external bodies of animals and humans.",Scopus,1821,10.3390/su15086813,current state microplastic south asian countries,microplastic contamination concerning topic recent decades development microplastic selection south asian countries consisting bangladesh iran thailand india indonesia vietnam condition microplastic abundance microplastic environments presence microplastics food air covered drinking water sourced taps 83 microplastic particles year 2017 results 14 nations year 2018 260 bodies water human consumption 11 countries 93 microplastic particles micro seas oceans worldwide predicted 236000 metric tons statistical mean value 30 micro liter glacier water recovered mount everest 2200 small particles liter discovered deep waters mariana trench main environments severely microplastic contaminated water places rivers estuaries beaches presence microplastics food items tea bags sugar shrimp paste salt packets terms impacts environment microplastic contamination includes ingestion microplastics aquatic creatures water environments impacts terrestrial environments relate microplastics sinking soil leading alteration physicochemical parameters soil impacts atmospheric environment settling microplastics external bodies animals humans,2023
224,10.1007/978-3-031-30514-6_12,A Sustainable Framework to Manage Plastic Waste in Urban Environments Using Open Data,2023-01-01,Book Series,"Sidhu, Navjot","With the continuous increase in plastic waste, efficient urban planning policies and plastic management can often be a demanding task. This chapter promotes the use of open data to plan an urban waste management setting in cities. Thus, we have collected the demographics, the number of venues, the number of street segments, and the location of municipal bins in four Western cities: New York City, Malaga, Madrid, and Stavanger. These data were used to plan an urban waste management setting in the target cities in the Philippines and India, where there is a lack of plastic waste management. A linear regression analysis was performed on the reference city data to determine relevant variables in the urban planning model. A Weighted Least Square analysis was applied to the different variables to identify the needed number of bins in the target cities. Finally, we have integrated these results with our previous work on a low-cost smart household bin in order to design routes for waste pickers. The simulation scenarios proposed in India and the Philippines show an average collection rate of over 80% by promoting the use of sustainable means of transport such as bikes and on foot in the routes suggested to the waste pickers.",Scopus,1236,10.1007/978-3-031-30514-6_12,sustainable framework manage urban environments open data,continuous increase efficient urban planning policies management demanding task chapter promotes open data plan urban management setting cities collected demographics number venues number street segments location municipal bins western cities new york city malaga madrid stavanger data plan urban management setting target cities india lack management linear regression analysis performed reference city data determine relevant variables urban planning model weighted square analysis applied different variables identify needed number bins target cities finally integrated results previous work low cost smart household bin order design routes pickers simulation scenarios proposed india average collection rate 80 promoting sustainable means transport bikes foot routes suggested pickers,2023
245,10.3390/s21134534,A collaborative application for assisting the management of household plastic waste through smart bins: A case of study in the Philippines,2021-07-01,Journal,"Sidhu, Navjot","The management and collection of household waste often represents a demanding task for elderly or impaired people. In particular, the increasing generation of plastic waste at home may pose a problem for these groups, as this type of waste accumulates very rapidly and occupies a considerable amount of space. This paper proposes a collaborative infrastructure to monitor household plastic waste. It consists of simple smart bins using a weight scale and a smart application that forecasts the amount of plastic generated for each bin at different time horizons out of the data provided by the smart bins. The application generates optimal routes for the waste-pickers collaborating in the system through a route-planning algorithm. This algorithm takes into account the predicted amount of plastic of each bin and the waste-picker’s location and means of transport. This proposal has been evaluated by means of a simulated scenario in Quezon City, Philippines, where severe problems with plastic waste have been identified. A set of 176 experiments have been performed to collect data that allow representing different user behaviors when generating plastic waste. The results show that our proposal enables waste-pickers to collect more than the 80% of the household plastic-waste bins before they are completely full.",Scopus,1320,10.3390/s21134534,collaborative application assisting management household smart bins case,management collection household represents demanding task elderly impaired people particular increasing generation home pose problem groups type accumulates rapidly occupies considerable space proposes collaborative infrastructure monitor household consists simple smart bins weight scale smart application forecasts generated bin different time horizons data provided smart bins application generates optimal routes pickers collaborating route planning algorithm algorithm takes account predicted bin pickers location means transport proposal evaluated means simulated scenario quezon city severe problems identified set 176 experiments performed collect data allow representing different user behaviors generating results proposal enables pickers collect 80 household bins completely,2021
38,10.1016/j.marpolbul.2024.117134,"A comprehensive assessment of plastic pollution inland, on riverbanks, along the coastline and at the sea surface in Southern Mindanao, Philippines",2024-12-01,Journal,"Fuentes, Harold","The Philippines are projected to be a top contributor to oceanic plastic pollution by 2025, ranking first globally for riverine plastic emissions. However, comprehensive empirical data on litter leakage is lacking, impeding accurate estimates and mitigation efforts. We conducted the first thorough assessment of plastic within a 100 km radius of Davao City, Mindanao, Philippines using a stratified random sampling design. We detected 13,970 debris items across 309 transects from 33 coastal, 27 river, and 44 inland sites, and collected 1405 debris items from 27 sea surface trawls. Riverbanks showed the highest plastic pollution densities, averaging 3.6 items per m<sup>2</sup>. Food wrappers and labels, both whole and fragmented, were the most abundant items across all site types, highlighting the Filipino “tingi” culture of buying and trading in small quantities. We recommend focusing on river hotspots and commonly reported items, particularly food packaging and sachets, to manage plastic pollution effectively.",Scopus,1023,10.1016/j.marpolbul.2024.117134,comprehensive assessment inland riverbanks coastline sea surface southern mindanao,projected contributor oceanic 2025 ranking globally riverine emissions comprehensive empirical data leakage lacking impeding accurate estimates mitigation efforts conducted thorough assessment 100 km radius davao city mindanao stratified random sampling design detected 13970 items 309 transects 33 coastal 27 river 44 inland sites collected 1405 items 27 sea surface trawls riverbanks showed highest densities averaging 36 items msup2sup food wrappers labels fragmented abundant items site types highlighting filipino tingi culture buying trading small quantities recommend focusing river hotspots commonly items particularly food packaging sachets manage effectively,2024
167,10.1088/1755-1315/1506/1/012027,A pathway of land-based plastic debris into the marine environment: The status of Cagayan de Oro River,2025-01-01,Conference Proceeding,"Inocente, Sherley Ann T.","Recent reports identify the Philippines as a major contributor to plastic pollution in river systems. However, these claims often lack empirical field data, limiting our understanding of plastic transport dynamics in heavily urbanized waterways. This study addresses this gap by investigating the volume, composition, and transport of plastic debris in the downstream segments of the Cagayan de Oro River, a vital waterway influenced by a dense population and challenges in waste management. Over a ten-day period, macroplastic flux, polymer composition, and flow velocity were monitored at three strategic bridge locations. Results indicate that the river serves as a significant conduit for land-based plastic waste entering the marine environment, with an average plastic debris influx of 10.5 items per hour. Food packaging, plastic bottles, and plastic bags - primarily composed of polyethylene and multilayer materials - were the most common pollutants. These findings emphasizes the urgent need for targeted waste management interventions, particularly in upstream urban areas, to mitigate riverine plastic pollution and its downstream impacts on coastal and marine ecosystems.",Scopus,1184,10.1088/1755-1315/1506/1/012027,pathway environment status cagayan oro river,recent identify major contributor river systems claims lack empirical field data limiting understanding transport dynamics heavily urbanized waterways addresses gap investigating volume composition transport downstream segments cagayan oro river vital waterway influenced dense population challenges management day period macroplastic flux polymer composition flow velocity monitored strategic bridge locations results indicate river serves significant conduit entering environment average influx 105 items hour food packaging bottles bags primarily composed polyethylene multilayer materials common pollutants findings emphasizes urgent need targeted management interventions particularly upstream urban areas mitigate riverine downstream impacts coastal ecosystems,2025
235,,A review on microplastic ingestion in marine invertebrates from Southeast Asia,2022-05-01,Journal,"Hasbudin, Haryati","The microplastic ingestion of marine invertebrates around ASEAN countries namely, Indonesia, Malaysia, Philippines, Thailand, and Vietnam were reviewed. The review involves locations, species, concentration of microplastics, as well as dominant colors and types of microplastics. The most studied species was Perna viridis. The highest concentration of microplastic was found in Laevistrombus turturella with 628 ±191.93 particles/individual. Black was the most common dominant color of microplastics and fiber was the most common type of microplastics found in the marine invertebrates. Two lab-based studies of microplastic ingestion in Acropora formosa and Perna viridis had shown detrimental effects of microplastics. The challenges of microplastic ingestion study around ASEAN was the possibility of microplastic entering seafood food security in both wild and farmed populations, as well as the probable collapse of the coral reef ecosystem.",Scopus,947,,microplastic ingestion invertebrates southeast asia,microplastic ingestion invertebrates asean countries indonesia malaysia thailand vietnam involves locations species concentration microplastics dominant colors types microplastics studied species perna viridis highest concentration microplastic laevistrombus turturella 628 19193 particlesindividual black common dominant color microplastics fiber common type microplastics invertebrates lab microplastic ingestion acropora formosa perna viridis shown detrimental effects microplastics challenges microplastic ingestion asean possibility microplastic entering seafood food security wild farmed populations probable collapse coral reef ecosystem,2022
202,10.20517/wecn.2023.73,"A review on the presence of microplastics in environmental matrices within Southeast Asia: elucidating risk information through an analysis of microplastic characteristics such as size, shape, and type",2024-01-01,Journal,"Mohd Ali, Ahmad Ammarluddin","Microplastics’ ecotoxicological potential in almost all ecosystems makes them a global environmental issue. This review evaluates Southeast Asian microplastic contamination data from 2013 to 2023. This evaluation examined 285 research publications from Scopus, Web of Science, and ScienceDirect, mostly on sediment and water matrices. Based on their size, shape, polymer type, and potential risks from polymer hazards in Southeast Asian countries, this analysis assesses microplastic pollution in biota, sediment, water, and other environmental matrices. The majority of microplastics in this region are small (46%) and large (32%). Within the biota matrix, small microplastics (SMP) and large microplastics (LMP) dominated. Fibers predominated in all matrices, particularly the biota matrix. Polyethylene emerged as the most abundant polymer type (22%), found in all four matrices. Despite being less abundant, polyurethane and polyamide have high hazard scores, raising ecological concerns due to their detrimental effects on environmental matrices. According to the analyzed data, Southeast Asian countries face significant risks due to high levels of microplastic contamination in water, sediments, biota, and other matrices. However, there are noticeable discrepancies in Southeast Asian data, indicating progress in microplastic research, with most data coming from Indonesia, Thailand, Malaysia, Vietnam, and the Philippines and little information in the literature regarding microplastic contamination from East Timor, Laos, Brunei, Myanmar, and Cambodia.",Scopus,1563,10.20517/wecn.2023.73,presence microplastics environmental matrices southeast asia elucidating risk information analysis microplastic characteristics size shape type,microplastics ecotoxicological potential ecosystems makes global environmental issue evaluates southeast asian microplastic contamination data 2013 2023 evaluation examined 285 publications scopus web science sciencedirect sediment water matrices size shape polymer type potential risks polymer hazards southeast asian countries analysis assesses microplastic biota sediment water environmental matrices majority microplastics region small 46 large 32 biota matrix small microplastics smp large microplastics lmp dominated fibers predominated matrices particularly biota matrix polyethylene emerged abundant polymer type 22 matrices despite abundant polyurethane polyamide high hazard scores raising ecological concerns detrimental effects environmental matrices according analyzed data southeast asian countries face significant risks high levels microplastic contamination water sediments biota matrices noticeable discrepancies southeast asian data indicating progress microplastic data coming indonesia thailand malaysia vietnam little information literature regarding microplastic contamination east timor laos brunei myanmar cambodia,2024
