term,cluster,centrality,density
microplastics,0,790450,1236.0841102955762
microplastic,0,790450,1236.0841102955762
mps,0,790450,1236.0841102955762
water,0,790450,1236.0841102955762
environmental,2,658390,566.141498216409
management,2,658390,566.141498216409
results,2,658390,566.141498216409
health,3,563440,810.36
samples,0,790450,1236.0841102955762
fish,0,790450,1236.0841102955762
environment,2,658390,566.141498216409
river,0,790450,1236.0841102955762
mp,0,790450,1236.0841102955762
city,2,658390,566.141498216409
species,3,563440,810.36
significant,2,658390,566.141498216409
data,2,658390,566.141498216409
areas,1,342080,992.9705215419501
analysis,2,658390,566.141498216409
coastal,1,342080,992.9705215419501
particles,0,790450,1236.0841102955762
bay,0,790450,1236.0841102955762
human,3,563440,810.36
showed,2,658390,566.141498216409
surface,0,790450,1236.0841102955762
global,3,563440,810.36
sites,0,790450,1236.0841102955762
types,0,790450,1236.0841102955762
countries,3,563440,810.36
total,1,342080,992.9705215419501
different,1,342080,992.9705215419501
identified,0,790450,1236.0841102955762
contamination,0,790450,1236.0841102955762
polyethylene,0,790450,1236.0841102955762
potential,3,563440,810.36
density,0,790450,1236.0841102955762
food,1,342080,992.9705215419501
polymer,0,790450,1236.0841102955762
local,3,563440,810.36
items,1,342080,992.9705215419501
size,0,790450,1236.0841102955762
collected,0,790450,1236.0841102955762
abundance,0,790450,1236.0841102955762
impacts,3,563440,810.36
high,2,658390,566.141498216409
presence,0,790450,1236.0841102955762
sediments,0,790450,1236.0841102955762
conducted,0,790450,1236.0841102955762
area,1,342080,992.9705215419501
sampling,0,790450,1236.0841102955762
findings,2,658390,566.141498216409
mm,0,790450,1236.0841102955762
type,0,790450,1236.0841102955762
need,3,563440,810.36
sources,2,658390,566.141498216409
ingestion,0,790450,1236.0841102955762
sea,3,563440,810.36
asia,3,563440,810.36
mangrove,1,342080,992.9705215419501
highest,0,790450,1236.0841102955762
effects,3,563440,810.36
country,2,658390,566.141498216409
packaging,1,342080,992.9705215419501
public,2,658390,566.141498216409
ecosystems,3,563440,810.36
revealed,2,658390,566.141498216409
urban,2,658390,566.141498216409
community,3,563440,810.36
distribution,0,790450,1236.0841102955762
assessment,2,658390,566.141498216409
southeast,3,563440,810.36
risk,0,790450,1236.0841102955762
problem,2,658390,566.141498216409
fragments,0,790450,1236.0841102955762
wastes,2,658390,566.141498216409
communities,3,563440,810.36
higher,0,790450,1236.0841102955762
lake,0,790450,1236.0841102955762
manila,2,658390,566.141498216409
observed,0,790450,1236.0841102955762
low,3,563440,810.36
beaches,1,342080,992.9705215419501
activities,3,563440,810.36
rivers,2,658390,566.141498216409
knowledge,2,658390,566.141498216409
materials,2,658390,566.141498216409
