id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	ability	-0.8701	0.4729	1	35	42	5	2022.8	9.4	0.7758
2	abundance	1.0115	-0.132	2	64	145	12	2023	5.5	0.7457
3	accuracy	-0.4372	0.3441	1	32	51	7	2021.7143	7.5714	1.4363
4	addition	-0.4201	0.0779	1	69	117	11	2021.3636	23.9091	1.2809
5	alternative	-0.3708	0.1348	1	61	87	10	2022.1	32.9	1.2013
6	amount	0.5261	0.199	3	82	163	17	2022	5	0.4465
7	application	-0.8013	0.1354	1	49	76	9	2023	13.1111	2.9134
8	approach	-0.5453	0.0374	1	97	224	21	2022.4762	17	1.6772
9	aquatic organism	0.8042	-0.0784	2	49	64	6	2022.3333	7.5	1.0445
10	article	-0.8225	-0.0494	1	62	122	13	2022.4615	33.3846	2.1034
11	asia	-0.1915	-0.2097	1	74	131	17	2022.1765	15.4118	1.2691
12	aspect	-0.825	-0.0908	1	58	111	12	2022.6667	25.3333	1.2581
13	average	0.9283	-0.2753	2	43	54	6	2023	3.1667	0.4203
14	awareness	-0.4068	0.0176	1	92	203	20	2022.6	1.8	0.3175
15	barangay	0.0673	-0.361	3	28	39	6	2021.5	0.3333	0.1
16	basis	-0.4415	0.185	1	55	97	9	2023.2222	1	0.2132
17	beach	0.6898	-0.1838	3	41	59	11	2021.2727	90.0909	1.0952
18	bioplastic	0.0485	0.3781	4	31	44	6	2022.8333	2.5	0.3456
19	business	-1.2137	0.0614	1	43	64	8	2023.25	1.75	0.2916
20	category	0.3569	0.2497	3	54	87	8	2021.5	17.5	0.7326
21	challenge	-0.5768	-0.0711	1	101	264	26	2022.6538	7.2308	1.3486
22	characteristic	0.7773	0.0903	2	69	124	11	2023.1818	3.1818	0.567
23	characterization	1.147	0.1405	2	48	76	7	2022.7143	2.8571	0.3508
24	circular economy	-1.1376	-0.2181	1	40	62	8	2022.875	46.5	2.4242
25	climate change	-0.9421	-0.1521	1	51	81	11	2021.9091	20.2727	1.257
26	collaboration	-1.11	-0.2619	1	43	57	8	2022.5	9.625	1.9145
27	color	1.3342	-0.0163	2	50	114	8	2022.75	5.375	0.3304
28	composition	0.8838	0.3066	3	58	102	9	2022.7778	4.8889	0.3689
29	compressive strength	0.0893	0.5236	1	22	32	5	2022.2	1.6	0.3063
30	concentration	0.6686	0.0428	2	75	148	16	2021.3125	19.1875	0.6703
31	consumer	-0.7113	-0.2451	1	50	67	9	2022	32.2222	2.2159
32	covid	-0.7184	-0.3449	1	65	107	11	2022.2727	3.9091	0.4035
33	customer	-1.1805	-0.0522	1	40	55	5	2022	3.4	0.6835
34	day	0.133	0.2287	3	69	119	13	2022	2.3846	0.2617
35	demand	-0.4145	0.2156	1	49	68	9	2022.8889	5.6667	1.0692
36	density	0.7049	0.003	2	73	145	13	2023.1538	6.1538	0.4165
37	development	-0.6315	0.026	1	88	219	23	2022.4783	16.1304	1.2271
38	device	-0.2161	0.5283	1	29	33	6	2020.8333	2.3333	0.4774
39	difference	0.2227	0.1109	3	92	172	20	2022.2	8.05	0.5917
40	distribution	0.6131	-0.1072	2	69	114	11	2021.6364	10.8182	0.7401
41	economy	-0.4734	-0.3756	1	44	61	7	2022.2857	5.5714	0.8215
42	effectiveness	-0.7857	0.3118	1	42	46	5	2022.8	21	1.2359
43	environmental challenge	-1.0287	0.2827	1	45	65	7	2023.2857	4.1429	0.7831
44	evidence	0.5362	-0.0828	2	62	101	10	2022.5	14.3	1.6734
45	experience	-1.1446	-0.3218	1	38	58	9	2022.5556	17.1111	1.1755
