id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	cci	-0.7699	-0.2604	1	21	26	4	2020.5
2	clean coast index	-0.4303	-0.382	1	25	38	5	2020.8
3	coastal area	0.4424	-0.6429	1	18	20	3	2021
4	composition	-0.0739	-0.2401	1	28	49	6	2021.1667
5	environment	-0.0488	0.5432	2	25	32	5	2021.6
6	food packaging	-0.4506	-0.0776	1	31	60	6	2021.8333
7	fragment	-0.9029	0.4263	2	21	27	3	2021.6667
8	items m2	-0.6068	0.2109	2	26	40	4	2021.75
9	landward	0.333	-0.0184	3	19	22	3	2022.3333
10	limited study	-0.3639	0.1641	2	26	34	3	2022
11	litter	0.23	-0.3349	1	27	45	6	2021.5
12	low tide	1.4018	0.0997	3	12	15	3	2022
13	macroplastic	-0.3072	-0.4948	1	25	45	5	2022.2
14	mangrofe	1.1964	0.23	3	17	22	3	2021.6667
15	mangrove area	0.8999	-0.0863	3	23	29	3	2022.3333
16	marine	0.6336	0.7362	2	14	17	3	2022.3333
17	marine ecosystem	0.6114	-0.2757	3	24	32	4	2020.75
18	marine environment	-0.1591	0.6225	2	24	30	4	2021.25
19	marine plastic pollution	0.0485	0.2701	3	25	27	3	2022.3333
20	mindanao	-0.6561	0.6191	2	19	24	3	2021.6667
21	number	-0.5275	0.9779	2	17	22	3	2020.6667
22	occurrence	1.0106	0.1265	3	19	30	5	2021.2
23	ocean	-0.6112	0.3532	2	24	35	4	2021.25
24	plastic fragment	0.5147	-0.4492	3	25	37	4	2022.25
25	plastic litter	-0.9741	0.002	2	20	26	4	2021.25
26	plastic pollution	-0.48	-0.2228	1	29	46	4	2022
27	prevalence	-0.4165	-0.2108	1	29	46	4	2022
28	river	-0.4247	-1.0691	1	15	17	3	2022.3333
29	river mouth	-0.5596	-0.8898	1	17	20	3	2021.6667
30	term	-0.4073	0.4357	2	21	25	3	2021
31	threat	-0.0105	-0.4714	1	22	27	4	2021.5
32	total	0.572	0.2523	3	21	24	3	2021
33	type	0.7137	-0.1316	3	26	43	6	2020.8333
34	waste	0.3966	0.237	3	27	37	5	2020.6
35	water	0.1027	-0.8107	1	18	19	3	2022.3333
36	world	0.0735	0.762	2	24	30	3	2021.6667
