1	2	3
1	3	1
1	4	1
1	5	1
1	6	2
1	7	1
1	8	1
1	11	2
1	13	1
1	18	1
1	20	1
1	22	1
1	23	1
1	25	2
1	26	1
1	27	1
1	29	1
1	30	1
1	31	1
1	32	1
1	33	1
2	3	1
2	4	2
2	5	1
2	6	3
2	7	1
2	8	1
2	10	1
2	11	2
2	13	2
2	15	1
2	17	1
2	20	1
2	22	1
2	23	2
2	24	1
2	25	2
2	26	2
2	27	2
2	29	1
2	30	1
2	31	1
2	33	2
2	34	2
2	35	1
3	4	1
3	5	1
3	6	1
3	10	1
3	11	2
3	13	1
3	15	1
3	18	1
3	22	1
3	24	1
3	26	1
3	27	1
3	32	1
3	33	2
3	34	1
3	35	1
4	6	4
4	7	1
4	8	2
4	9	1
4	10	2
4	11	2
4	12	1
4	13	4
4	14	1
4	15	1
4	17	2
4	20	2
4	21	1
4	23	2
4	24	2
4	26	3
4	27	3
4	28	1
4	29	1
4	30	1
4	31	2
4	32	1
4	33	2
4	34	2
4	35	1
5	6	1
5	7	1
5	8	2
5	10	1
5	11	2
5	12	1
5	14	1
5	15	1
5	16	2
5	18	2
5	19	1
5	20	1
5	21	2
5	22	1
5	23	1
5	25	2
5	26	1
5	27	1
5	29	1
5	30	1
5	34	1
5	36	2
6	7	3
6	8	3
6	9	1
6	10	3
6	11	2
6	13	4
6	15	1
6	17	1
6	18	1
6	19	1
6	20	2
6	21	1
6	23	3
6	24	2
6	25	2
6	26	4
6	27	4
6	28	1
6	29	1
6	30	2
6	31	2
6	32	1
6	33	1
6	34	1
6	35	1
6	36	1
7	8	1
7	9	1
7	10	2
7	13	1
7	18	1
7	19	1
7	20	1
7	21	1
7	23	2
7	25	2
7	26	1
7	27	1
7	30	2
7	31	1
7	32	1
7	36	1
8	10	1
8	11	1
8	13	2
8	16	1
8	17	1
8	18	2
8	19	1
8	20	2
8	21	2
8	23	2
8	24	1
8	25	1
8	26	3
8	27	3
8	28	1
8	29	1
8	30	1
8	31	1
8	34	1
8	36	2
9	10	1
9	13	2
9	14	1
9	15	1
9	17	1
9	19	2
9	20	1
9	22	1
9	23	1
9	24	1
9	28	1
9	29	1
9	32	2
9	33	1
9	34	1
9	36	1
10	11	1
10	13	2
10	15	1
10	18	1
10	19	1
10	20	1
10	21	1
10	23	2
10	24	1
10	25	1
10	26	2
10	27	2
10	30	1
10	32	1
10	33	1
10	34	1
10	35	1
10	36	1
11	12	1
11	13	2
11	14	1
11	15	2
11	16	2
11	17	1
11	18	2
11	22	2
11	24	2
11	25	1
11	26	2
11	27	2
11	28	1
11	29	2
11	31	2
11	32	1
11	33	2
11	34	1
11	35	2
12	14	2
12	15	1
12	16	1
12	17	1
12	22	2
12	24	1
12	30	1
12	31	1
12	33	2
13	15	1
13	17	1
13	19	1
13	20	2
13	23	2
13	24	2
13	26	3
13	27	3
13	28	2
13	29	2
13	31	1
13	32	1
13	33	1
13	34	1
13	35	1
14	15	2
14	16	1
14	17	2
14	19	1
14	22	2
14	24	1
14	30	1
14	31	1
14	32	1
14	33	2
14	34	1
14	36	1
15	16	1
15	17	1
15	19	1
15	22	2
15	24	2
15	26	1
15	27	1
15	32	1
15	33	2
15	34	2
15	35	1
15	36	1
16	18	2
16	20	1
16	21	1
16	22	1
16	31	1
16	34	1
16	35	1
16	36	1
17	19	1
17	22	2
17	23	1
17	24	2
17	26	1
17	27	1
17	28	1
17	29	1
17	30	1
17	31	2
17	32	1
17	33	3
17	34	2
17	36	1
18	19	1
18	20	1
18	21	2
18	22	1
18	23	1
18	25	1
18	26	1
18	27	1
18	30	1
18	31	1
18	32	1
18	33	1
18	34	1
18	35	1
18	36	2
19	21	1
19	22	1
19	23	1
19	24	1
19	25	1
19	26	1
19	27	1
19	28	1
19	29	1
19	30	1
19	32	1
19	33	1
19	34	1
19	36	2
20	21	1
20	23	2
20	26	1
20	27	1
20	32	1
20	34	1
20	36	1
21	23	1
21	25	1
21	26	1
21	27	1
21	30	1
21	34	2
21	36	2
22	23	1
22	24	2
22	32	2
22	33	4
22	34	2
22	36	1
23	25	1
23	26	2
23	27	2
23	30	1
23	32	1
23	33	1
23	34	1
23	36	1
24	26	2
24	27	2
24	28	1
24	29	1
24	31	1
24	32	1
24	33	3
24	34	2
24	35	1
24	36	1
25	26	1
25	27	1
25	28	1
25	29	1
25	30	2
25	31	1
25	35	1
25	36	1
26	27	4
26	28	1
26	29	1
26	30	1
26	31	1
26	33	1
26	34	1
26	35	1
26	36	1
27	28	1
27	29	1
27	30	1
27	31	1
27	33	1
27	34	1
27	35	1
27	36	1
28	29	2
28	31	1
28	35	1
29	31	1
30	31	2
30	33	1
30	36	1
31	33	1
31	35	1
32	33	2
32	34	1
32	36	1
33	34	3
33	35	1
33	36	1
34	35	1
34	36	2
