Station-Code,Station-Lat,Station-Lon,Sample,Habitat,Region,Province,City,Highly-Urbanized,Sampling-Year,Election-Flag,"Voter-Precinct-Cluster-Ratio_2016,19,22",Macro_Count,Waste-Generation_City-Munic,Sampling-Start,Sampling-End,Monsoon,River_dist_endpoint_km,River_dist_startpoint_km,River_dist_min_km,KBA_dist_km,Landfill_dist_km,Trigger_species,Basin_HubName,Catchment_area_km2,G_catchment_mean,Elevation_sd,Stream_length_total_km_so1,Stream_number_all,Basin_length_km_constrained,Basin_elongation_ratio_constrained,Basin_drainage_density,Basin_length_overland_flow,Popu_dens_city_2020,Population_region_2020,"Poverty_prov-city_2018,21,23",HDI_2015,GRDP_2017-22,GRDP_percapita_2017-22,"Gini_2015,18,21",Metro_Manila,"Income-Gap_2015,18,21",Labor-Participation_2017-22,Sanitation-Level_2020,GVA_AFF_2017-2022,AFF_2017-2022,GVA_AFF_2017-2022,AFSA_2017-2022
ABR2020A0X,6.921708333,126.2575694,Mangrove Surface Litter,Mangrove,Region XI (Davao Region),Davao Oriental,City of Mati,No,2019,TRUE,756.7204969,4,103.2829000,2019-05-00,2019-06-00,Southeast,3.367760266,3.730316754,3.367760266,41.90908256,10.31392287,37,Sumlog,536.61407,23.443913,427.07886,220.10014,107,49.589634,0.52710265,0.80900311,0.61804456,250.661706,"5,243,536",0.38,0.557,922613.763,0.175952594,0.4108,No,0.216,0.598,0.981487,149367.214,0.161895714,17547.358,0.019019181
ABR2021A01,6.730534833,125.3762446,Beach Surface Litter,Gulf,Region XI (Davao Region),Davao del Sur,City of Digos,No,2021,FALSE,833.9384979,51,134.8429000,3/21/21,3/21/21,Northeast,1.832512302,1.26862961,1.26862961,29.98364158,12.61024078,67,Padada_Mainit,1188.1769,14.133672,422.28555,631.33484,285,49.384491,0.78759879,0.97479659,0.51292753,656.1337513,"5,243,536",0.18,0.728,967140.487,0.184444331,0.4071,No,0.211,0.609,0.981487,184461.078,0.190728318,13775.496,0.014243532
ABR2023A01,6.926111111,126.2819444,Water/Bouyant Litter,Open Water,Region XI (Davao Region),Davao Oriental,City of Mati,No,2021,FALSE,756.7204969,1,106.2172000,10/21/21,11/23/21,Northeast,4.795529554,4.251489111,4.251489111,41.34941878,11.43203592,37,Sumlog,536.61407,23.443913,427.07886,220.10014,107,49.589634,0.52710265,0.80900311,0.61804456,250.661706,"5,243,536",0.3,0.557,967140.487,0.184444331,0.4071,No,0.191,0.609,0.981487,184461.078,0.190728318,13775.496,0.014243532
ACO2022A01,6.099305556,125.2004722,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),South Cotabato,City of General Santos,Yes,2021,FALSE,806.0534208,56,522.0258000,8/11/21,9/4/21,Southeast,0.853100265,1.977952327,0.853100265,32.76999069,3.964684445,11,Makar,630.06958,13.342672,332.84885,393.98288,131,34.307102,0.82559162,1.0134728,0.49335313,1414.833827,"4,901,486",0.14,0.661,503888.631,0.102803238,0.4181,No,0.24,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A02,6.099555556,125.1978611,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),South Cotabato,City of General Santos,Yes,2021,FALSE,806.0534208,65,522.0258000,8/11/21,9/4/21,Southeast,0.622613301,2.267802492,0.622613301,32.6281535,3.735662034,11,Makar,630.06958,13.342672,332.84885,393.98288,131,34.307102,0.82559162,1.0134728,0.49335313,1414.833827,"4,901,486",0.14,0.661,503888.631,0.102803238,0.4181,No,0.24,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A03,6.103361111,125.1918333,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),South Cotabato,City of General Santos,Yes,2021,FALSE,806.0534208,107,522.0258000,8/11/21,9/4/21,Southeast,0.276944621,2.238303297,0.276944621,31.97879085,2.970402878,11,Makar,630.06958,13.342672,332.84885,393.98288,131,34.307102,0.82559162,1.0134728,0.49335313,1414.833827,"4,901,486",0.14,0.661,503888.631,0.102803238,0.4181,No,0.24,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A04,6.106138889,125.1783056,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),South Cotabato,City of General Santos,Yes,2021,FALSE,806.0534208,88,522.0258000,8/11/21,9/4/21,Southeast,1.785312728,0.762559727,0.762559727,31.14172738,1.963284059,11,Makar,630.06958,13.342672,332.84885,393.98288,131,34.307102,0.82559162,1.0134728,0.49335313,1414.833827,"4,901,486",0.14,0.661,503888.631,0.102803238,0.4181,No,0.24,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A05,6.1065,125.1746389,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),South Cotabato,City of General Santos,Yes,2021,FALSE,806.0534208,83,522.0258000,8/11/21,9/4/21,Southeast,2.192863543,0.4051711,0.4051711,30.96472236,1.863358646,11,Makar,630.06958,13.342672,332.84885,393.98288,131,34.307102,0.82559162,1.0134728,0.49335313,1414.833827,"4,901,486",0.14,0.661,503888.631,0.102803238,0.4181,No,0.24,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A06,6.039583333,125.1435278,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),South Cotabato,City of General Santos,Yes,2021,FALSE,806.0534208,3,522.0258000,8/11/21,9/4/21,Southeast,2.994245939,0.464511209,0.464511209,37.21012202,9.852559216,11,Makar,630.06958,13.342672,332.84885,393.98288,131,34.307102,0.82559162,1.0134728,0.49335313,1414.833827,"4,901,486",0.14,0.661,503888.631,0.102803238,0.4181,No,0.24,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A07,6.037777778,125.1430278,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),South Cotabato,City of General Santos,Yes,2021,FALSE,806.0534208,36,522.0258000,8/11/21,9/4/21,Southeast,2.882490204,0.298285667,0.298285667,37.39585559,10.05914838,11,Makar,630.06958,13.342672,332.84885,393.98288,131,34.307102,0.82559162,1.0134728,0.49335313,1414.833827,"4,901,486",0.14,0.661,503888.631,0.102803238,0.4181,No,0.24,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A08,5.904,125.0819444,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,47,33.6951000,8/11/21,9/4/21,Southeast,3.239156558,0.78553122,0.78553122,51.53397882,17.91252172,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A09,5.902055556,125.0800833,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,43,33.6951000,8/11/21,9/4/21,Southeast,2.956369158,0.566302054,0.566302054,51.74855857,18.01172698,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
