Station_Code,latitude,longitude,Hub distance river attributes_HubName,Hub distance river attributes_HubDist
ABR2020A0X,6.921708333,126.2575694,Sumlog,12023.01123
ABR2021A01,6.730534833,125.3762446,Padala_Mainit,4897.208161
ABR2023A01,6.926111111,126.2819444,Sumlog,14239.21541
ACO2022A01,6.099305556,125.2004722,Makar,4288.500382
ACO2022A02,6.099555556,125.1978611,Makar,4001.054123
ACO2022A03,6.103361111,125.1918333,Makar,3261.915003
ACO2022A04,6.106138889,125.1783056,Makar,1735.255691
ACO2022A05,6.1065,125.1746389,Makar,1327.750999
ACO2022A06,6.039583333,125.1435278,Makar,7883.83491
ACO2022A07,6.037777778,125.1430278,Makar,8091.03458
ACO2022A08,5.904,125.0819444,Siguel,6393.094331
ACO2022A09,5.902055556,125.0800833,Siguel,6636.113151
ACO2022A10,5.900555556,125.0791667,Siguel,6816.501523
ACO2022A11,5.871833333,125.0848611,Siguel,10022.29906
ACO2022A12,5.869138889,125.0827778,Siguel,10089.7781
ACO2022A13,5.863694444,125.0793889,Siguel,10321.64446
ACO2022A14,5.861611111,125.0771389,Siguel,10360.50635
BIN2019A0X,11.33811652,124.1152219,Pagsangahan,36914.34394
ESQ2020A01,8.520472,124.612694,Iponan,1411.443239
ESQ2020A02,8.520472,124.61275,Iponan,1413.889236
ESQ2020A03,8.520472,124.612778,Iponan,1415.120723
ESQ2020A04,8.511694,124.643028,Cagayan_de_Oro,2286.234676
ESQ2020A05,8.511722,124.642972,Cagayan_de_Oro,2290.330908
ESQ2020A06,8.51175,124.642944,Cagayan_de_Oro,2293.909456
ESQ2020A07,8.503306,124.663833,Cagayan_de_Oro,2322.107519
ESQ2020A08,8.503306,124.663861,Cagayan_de_Oro,2324.639088
ESQ2020A09,8.503306,124.663917,Cagayan_de_Oro,2329.706211
ESQ2020A10,8.480194,124.722333,Cagayan_de_Oro,8437.877423
ESQ2020A11,8.480167,124.722278,Cagayan_de_Oro,8432.322661
ESQ2020A12,8.480139,124.72225,Cagayan_de_Oro,8429.726667
GAB2022A01,8.301472222,124.2540556,Mandulog,5204.856061
GAB2022A02,8.265361111,124.2498611,Mandulog,1393.09702
GAB2022A03,8.213888889,124.2234444,Agus,4298.448356
GAB2022A04,8.195638889,124.1835278,Agus,890.3361904
GOM2023A01,14.28523,120.70441,Ternate,2817.86583
