Station_Code,latitude,longitude,dist_to_endpoint_m,dist_to_startpoint_m,KBA_dist_m,landfill_dist_m,KBA_Hub,landfill_Hub
ABR2020A0X,6.921708333,126.2575694,3367.760266,3730.316754,41909.08256,10313.92287,Mount Kampalili-Puting Bato,Sanitary Landfill/ LGU Mati City
ABR2021A01,6.730534833,125.3762446,1832.512302,1268.62961,29983.64158,12610.24078,Mount Apo,Digos City Sanitary Landfill Project (Level 2)/ City Government of Digos
ABR2023A01,6.926111111,126.2819444,4795.529554,4251.489111,41349.41878,11432.03592,Mount Kampalili-Puting Bato,Sanitary Landfill/ LGU Mati City
ACO2022A01,6.099305556,125.2004722,853.1002645,1977.952327,32769.99069,3964.684445,Mount Matutum,General Santos City Ecological Waste Management Facility / LGU Gen. Santos City
ACO2022A02,6.099555556,125.1978611,622.6133007,2267.802492,32628.1535,3735.662034,Mount Matutum,General Santos City Ecological Waste Management Facility / LGU Gen. Santos City
ACO2022A03,6.103361111,125.1918333,276.9446213,2238.303297,31978.79085,2970.402878,Mount Matutum,General Santos City Ecological Waste Management Facility / LGU Gen. Santos City
ACO2022A04,6.106138889,125.1783056,1785.312728,762.559727,31141.72738,1963.284059,Mount Matutum,General Santos City Ecological Waste Management Facility / LGU Gen. Santos City
ACO2022A05,6.1065,125.1746389,2192.863543,405.1710997,30964.72236,1863.358646,Mount Matutum,General Santos City Ecological Waste Management Facility / LGU Gen. Santos City
ACO2022A06,6.039583333,125.1435278,2994.245939,464.5112092,37210.12202,9852.559216,Mount Matutum,General Santos City Ecological Waste Management Facility / LGU Gen. Santos City
ACO2022A07,6.037777778,125.1430278,2882.490204,298.2856666,37395.85559,10059.14838,Mount Matutum,General Santos City Ecological Waste Management Facility / LGU Gen. Santos City
ACO2022A08,5.904,125.0819444,3239.156558,785.53122,51533.97882,17912.52172,Mount Matutum,Municipality of Glan Sanitary Landfill Category I
ACO2022A09,5.902055556,125.0800833,2956.369158,566.3020543,51748.55857,18011.72698,Mount Matutum,Municipality of Glan Sanitary Landfill Category I
ACO2022A10,5.900555556,125.0791667,2792.407553,434.7583964,51914.5187,18038.41504,Mount Matutum,Municipality of Glan Sanitary Landfill Category I
ACO2022A11,5.871833333,125.0848611,3740.767283,2279.508285,55093.3388,16422.70146,Mount Matutum,Municipality of Glan Sanitary Landfill Category I
