Station_Code,latitude,longitude,Hub distance end point_latitude,Hub distance end point_longitude,Hub distance end point_HubName_mouth,Hub distance end point_dist_to_mouth_m,Hub distance start point_latitude,Hub distance start point_longitude,Hub distance start point_HubName_head,Hub distance start point_dist_to_headwater_m,Hub distance KBA_latitude,Hub distance KBA_longitude,Hub distance KBA_Hub distance end point_latitude,Hub distance KBA_Hub distance end point_longitude,Hub distance KBA_Hub distance end point_HubName_mouth,Hub distance KBA_Hub distance end point_dist_to_mouth_m,Hub distance KBA_Hub distance start point_latitude,Hub distance KBA_Hub distance start point_longitude,Hub distance KBA_Hub distance start point_HubName_head,Hub distance KBA_Hub distance start point_dist_to_headwater_m,Hub distance KBA_HubName,Hub distance KBA_HubDist
ABR2020A0X,6.921708333,126.2575694,6.921708333,126.2575694,,3367.76026638887,6.921708333,126.2575694,"0",3730.31675382276,6.921708333,126.2575694,6.921708333,126.2575694,,3367.76026638887,6.921708333,126.2575694,"0",3730.31675382276,Mount Kampalili-Puting Bato,41909.0825559021
ABR2021A01,6.730534833,125.3762446,6.730534833,125.3762446,,1832.51230161355,6.730534833,125.3762446,"0",1268.62960995209,6.730534833,125.3762446,6.730534833,125.3762446,,1832.51230161355,6.730534833,125.3762446,"0",1268.62960995209,Mount Apo,29983.6415767472
ABR2023A01,6.926111111,126.2819444,6.926111111,126.2819444,,4795.52955373197,6.926111111,126.2819444,"0",4251.48911132622,6.926111111,126.2819444,6.926111111,126.2819444,,4795.52955373197,6.926111111,126.2819444,"0",4251.48911132622,Mount Kampalili-Puting Bato,41349.4187846254
ACO2022A01,6.099305556,125.2004722,6.099305556,125.2004722,,853.10026454072,6.099305556,125.2004722,"0",1977.95232672769,6.099305556,125.2004722,6.099305556,125.2004722,,853.10026454072,6.099305556,125.2004722,"0",1977.95232672769,Mount Matutum,32769.9906899283
ACO2022A02,6.099555556,125.1978611,6.099555556,125.1978611,,622.613300705242,6.099555556,125.1978611,"0",2267.80249200534,6.099555556,125.1978611,6.099555556,125.1978611,,622.613300705242,6.099555556,125.1978611,"0",2267.80249200534,Mount Matutum,32628.1534997172
ACO2022A03,6.103361111,125.1918333,6.103361111,125.1918333,,276.944621312822,6.103361111,125.1918333,"0",2238.30329678395,6.103361111,125.1918333,6.103361111,125.1918333,,276.944621312822,6.103361111,125.1918333,"0",2238.30329678395,Mount Matutum,31978.7908535382
ACO2022A04,6.106138889,125.1783056,6.106138889,125.1783056,,1785.31272781943,6.106138889,125.1783056,"0",762.559726950908,6.106138889,125.1783056,6.106138889,125.1783056,,1785.31272781943,6.106138889,125.1783056,"0",762.559726950908,Mount Matutum,31141.7273836325
ACO2022A05,6.1065,125.1746389,6.1065,125.1746389,,2192.86354323432,6.1065,125.1746389,"0",405.171099686376,6.1065,125.1746389,6.1065,125.1746389,,2192.86354323432,6.1065,125.1746389,"0",405.171099686376,Mount Matutum,30964.7223611583
ACO2022A06,6.039583333,125.1435278,6.039583333,125.1435278,,2994.24593863132,6.039583333,125.1435278,"0",464.511209194773,6.039583333,125.1435278,6.039583333,125.1435278,,2994.24593863132,6.039583333,125.1435278,"0",464.511209194773,Mount Matutum,37210.1220163485
ACO2022A07,6.037777778,125.1430278,6.037777778,125.1430278,,2882.49020353635,6.037777778,125.1430278,"0",298.28566660514,6.037777778,125.1430278,6.037777778,125.1430278,,2882.49020353635,6.037777778,125.1430278,"0",298.28566660514,Mount Matutum,37395.8555906009
ACO2022A08,5.904,125.0819444,5.904,125.0819444,,3239.15655763406,5.904,125.0819444,"0",785.531219972513,5.904,125.0819444,5.904,125.0819444,,3239.15655763406,5.904,125.0819444,"0",785.531219972513,Mount Matutum,51533.9788190332
ACO2022A09,5.902055556,125.0800833,5.902055556,125.0800833,,2956.36915839942,5.902055556,125.0800833,"0",566.302054344525,5.902055556,125.0800833,5.902055556,125.0800833,,2956.36915839942,5.902055556,125.0800833,"0",566.302054344525,Mount Matutum,51748.5585681452
ACO2022A10,5.900555556,125.0791667,5.900555556,125.0791667,,2792.40755335621,5.900555556,125.0791667,"0",434.758396432452,5.900555556,125.0791667,5.900555556,125.0791667,,2792.40755335621,5.900555556,125.0791667,"0",434.758396432452,Mount Matutum,51914.5187028404
ACO2022A11,5.871833333,125.0848611,5.871833333,125.0848611,,3740.76728335259,5.871833333,125.0848611,"0",2279.50828467625,5.871833333,125.0848611,5.871833333,125.0848611,,3740.76728335259,5.871833333,125.0848611,"0",2279.50828467625,Mount Matutum,55093.338798417
ACO2022A12,5.869138889,125.0827778,5.869138889,125.0827778,,3723.84985667843,5.869138889,125.0827778,"0",2524.78133737593,5.869138889,125.0827778,5.869138889,125.0827778,,3723.84985667843,5.869138889,125.0827778,"0",2524.78133737593,Mount Matutum,55389.5321129995
